values,fault
0.05744267024861804,False
0.0650922062764839,False
0.0905288149980704,False
0.05309147515925657,False
0.06184495440045579,False
0.057524403701234114,False
0.060948431371914316,False
0.026318467409437614,False
0.07131932007137441,False
0.005655812762047365,False
0.010139453967595791,False
0.045490134999345,False
0.053049944395334156,False
0.0,False
0.05814964413135636,False
0.0003682809635037219,False
0.3935467747138118,False
0.015527453543906932,False
0.05403531804159137,False
0.07443169665568079,False
0.07413709655521654,False
0.01523128130941392,False
0.06761244600839252,False
0.05160563437444884,False
0.07934330824478529,False
0.025552008537907754,False
0.003983506970628457,False
0.0,False
0.102242293850056,False
0.34511751492862236,False
0.20223390907034028,False
0.02280957319073261,False
0.0,False
0.041070558022560516,False
0.0010020637122984044,False
0.05215602709758793,False
0.04865521880425641,False
0.021151339461458096,False
0.17750837463765287,False
0.4916601632294576,False
0.0,False
0.041009078844700085,False
0.06366832697637398,False
0.02554698198424259,False
0.07305183992001878,False
0.029312391897623705,False
0.08037225074874053,False
0.4059998388267037,False
0.016614842908695644,False
